ID,POSE,COMBIND_RMSD,GLIDE_RMSD,BEST_RMSD
5dh4_lig,0,5.08360161930457,5.08360161930457,1.0844044213702362
5sgu_lig,0,5.85280965826332,5.85280965826332,1.096631498291769
5sj8_lig,0,6.108463697367987,6.108463697367987,0.8475929978285005
1z11_lig,0,1.0222653623362057,1.0222653623362057,0.4118624588596754
2fdv_lig,0,1.2613758181063628,1.2613758181063628,1.0340522346668437
2fdw_lig,1,1.123479533568062,1.0227807886133442,1.0227807886133442
3jya_lig,1,0.8143373907558213,3.849368745695925,0.5615927068647041
3vc4_lig,13,3.2618249078650825,5.9052674755744405,1.3333142804384954
3ans_lig,0,0.4464204024132969,0.4464204024132969,0.4464204024132969
4y2x_lig,41,1.6542486763345952,8.607380104102424,0.7761403102999337
5ai5_lig,0,0.7836867592011,0.7836867592011,0.656875018815082
5aly_lig,10,6.480697692291277,4.3709830739384286,3.446613132222069
5am4_lig,0,5.8003512152521095,5.8003512152521095,1.9436961484469049
6r8r_lig,25,7.98551741270265,3.8099651028844086,1.7970653228654865
7b3g_lig,0,-1.0,-1.0,-1.0
7b3i_lig,0,-1.0,-1.0,-1.0
7b3p_lig,20,2.451598314542021,6.386953452366202,2.0244220240022144
7b3x_lig,0,1.104847422416804,1.104847422416804,1.104847422416804
7b45_lig,1,3.054299613265225,6.568838522305539,1.2902436376719095
7b4x_lig,1,1.7066757051152592,6.415776527006914,1.5073543571148649
7pk3_lig,1,1.6063212327236307,1.527502321331961,1.421265270336404
1uw6_lig,0,2.907014082577028,2.907014082577028,2.5841736965341213
3wtj_lig,48,6.205923397589729,6.701018219267752,4.087514418061737
3wtl_lig,20,4.704771220187356,6.86057543367789,4.318327421998719
3wtn_lig,8,3.099889769381268,5.027137478673708,3.099889769381268
3zdg_lig,5,16.305621316552116,15.859255724294789,15.344724433671264
3zdh_lig,1,2.938456953560331,6.236175276787763,2.6891904526329773
3cho_lig,69,1.905533942117689,7.906404438169969,0.6658317112945045
3chr_lig,2,1.3622049993525556,1.2629478963712713,0.844465762769293
3fh5_lig,3,2.5581088006754915,2.597574538525189,0.6398563832272833
3fui_lig,6,2.259530821493269,2.655768021935875,0.7608187020720633
4dpr_lig,0,10.570101836290348,10.570101836290348,8.289753741814133
4l2l_lig,0,7.608273471966647,7.608273471966647,0.961507465372748
5aen_lig,3,1.9003667756419385,2.7517239716969297,0.5793748581151931
5j1w_lig,0,0.3934022172921753,0.3934022172921753,0.3934022172921753
6ytd_lig,0,5.737890605792013,5.737890605792013,0.6833914093446446
2vd7_lig,32,4.552153095690159,4.607137911229976,0.7330665900835683
5f2s_lig,5,3.890060753920261,2.689369141572252,1.656919409310624
6cg2_lig,2,1.823461451444373,5.551737308524753,1.7278085504053144
3n6k_lig,0,1.50076962687639,1.50076962687639,0.6213653917682014
3rye_lig,35,10.094079794636109,10.757172494777317,8.57109518694223
4ogu_lig,28,9.959581545705806,8.459738622699549,7.577033000227083
5a3x_lig,0,5.784177252118477,5.784177252118477,0.1726751976792599
6s14_lig,0,-1.0,-1.0,-1.0
6s17_lig,0,5.449772365228254,5.449772365228254,0.8734451349708993
6s1b_lig,0,2.2720347647111256,2.2720347647111256,0.9749317456572508
